write bytes, read bytes, time,Write count,read count,Buffer size
2097150,0,0.118961sec,2097152,0,1
2097150,0,0.105611sec,2097152,0,1
2097150,0,0.103706sec,2097152,0,1
2097150,0,0.103045sec,2097152,0,1
2097150,0,0.103542sec,2097152,0,1
2097150,0,0.104229sec,2097152,0,1
2097150,0,0.0972324sec,2097152,0,1
2097150,0,0.0982171sec,2097152,0,1
2097150,0,0.0953903sec,2097152,0,1
2097150,0,0.101992sec,2097152,0,1
2097120,0,0.0241786sec,524280,0,4
2097120,0,0.0240304sec,524280,0,4
2097120,0,0.0248014sec,524280,0,4
2097120,0,0.0264528sec,524280,0,4
2097120,0,0.0239007sec,524280,0,4
2097120,0,0.0270965sec,524280,0,4
2097120,0,0.024136sec,524280,0,4
2097120,0,0.0267791sec,524280,0,4
2097120,0,0.0239826sec,524280,0,4
2097120,0,0.0241588sec,524280,0,4
2097150,0,0.00303619sec,65536,0,32
2097150,0,0.00299637sec,65536,0,32
2097150,0,0.00300738sec,65536,0,32
2097150,0,0.00302856sec,65536,0,32
2097150,0,0.00296973sec,65536,0,32
2097150,0,0.00306227sec,65536,0,32
2097150,0,0.00305548sec,65536,0,32
2097150,0,0.00317257sec,65536,0,32
2097150,0,0.00315124sec,65536,0,32
2097150,0,0.00303055sec,65536,0,32
2096640,0,0.00148474sec,32760,0,64
2096640,0,0.00482685sec,32760,0,64
2096640,0,0.00160944sec,32760,0,64
2096640,0,0.00148484sec,32760,0,64
2096640,0,0.00148482sec,32760,0,64
2096640,0,0.00153161sec,32760,0,64
2096640,0,0.00159568sec,32760,0,64
2096640,0,0.00148475sec,32760,0,64
2096640,0,0.00148477sec,32760,0,64
2096640,0,0.00164102sec,32760,0,64
2097150,0,0.000742767sec,16384,0,128
2097150,0,0.000742775sec,16384,0,128
2097150,0,0.000742822sec,16384,0,128
2097150,0,0.000765431sec,16384,0,128
2097150,0,0.000765293sec,16384,0,128
2097150,0,0.000770376sec,16384,0,128
2097150,0,0.000780095sec,16384,0,128
2097150,0,0.000775075sec,16384,0,128
2097150,0,0.000744457sec,16384,0,128
2097150,0,0.000743114sec,16384,0,128
2097150,0,0.000268274sec,4096,0,512
2097150,0,0.000191733sec,4096,0,512
2097150,0,0.000204159sec,4096,0,512
2097150,0,0.000191695sec,4096,0,512
2097150,0,0.000249986sec,4096,0,512
2097150,0,0.000186035sec,4096,0,512
2097150,0,0.000186156sec,4096,0,512
2097150,0,0.000198588sec,4096,0,512
2097150,0,0.000194061sec,4096,0,512
2097150,0,0.000186445sec,4096,0,512
2097150,0,9.8761e-05sec,2048,0,1024
2097150,0,0.000132814sec,2048,0,1024
2097150,0,0.000122259sec,2048,0,1024
2097150,0,0.000116066sec,2048,0,1024
2097150,0,0.000159673sec,2048,0,1024
2097150,0,9.3528e-05sec,2048,0,1024
2097150,0,0.000125648sec,2048,0,1024
2097150,0,9.6077e-05sec,2048,0,1024
2097150,0,9.7362e-05sec,2048,0,1024
2097150,0,9.6319e-05sec,2048,0,1024
0,2097150,0.104132sec,0,2097152,1
0,2097150,0.0980964sec,0,2097152,1
0,2097150,0.0983198sec,0,2097152,1
0,2097150,0.0974398sec,0,2097152,1
0,2097150,0.103096sec,0,2097152,1
0,2097150,0.0965419sec,0,2097152,1
0,2097150,0.0997254sec,0,2097152,1
0,2097150,0.0955367sec,0,2097152,1
0,2097150,0.0956741sec,0,2097152,1
0,2097150,0.102356sec,0,2097152,1
0,2097120,0.025158sec,0,524280,4
0,2097120,0.0239193sec,0,524280,4
0,2097120,0.0240099sec,0,524280,4
0,2097120,0.023901sec,0,524280,4
0,2097120,0.0274553sec,0,524280,4
0,2097120,0.0239787sec,0,524280,4
0,2097120,0.02431sec,0,524280,4
0,2097120,0.0241821sec,0,524280,4
0,2097120,0.0258366sec,0,524280,4
0,2097120,0.0240608sec,0,524280,4
0,2097150,0.00302499sec,0,65536,32
0,2097150,0.00301816sec,0,65536,32
0,2097150,0.0029933sec,0,65536,32
0,2097150,0.00302078sec,0,65536,32
0,2097150,0.00296979sec,0,65536,32
0,2097150,0.00298608sec,0,65536,32
0,2097150,0.00299872sec,0,65536,32
0,2097150,0.00303374sec,0,65536,32
0,2097150,0.00381379sec,0,65536,32
0,2097150,0.00324673sec,0,65536,32
0,2096640,0.00157756sec,0,32760,64
0,2096640,0.00149902sec,0,32760,64
0,2096640,0.00288361sec,0,32760,64
0,2096640,0.00149069sec,0,32760,64
0,2096640,0.00153869sec,0,32760,64
0,2096640,0.00156511sec,0,32760,64
0,2096640,0.00150888sec,0,32760,64
0,2096640,0.00151643sec,0,32760,64
0,2096640,0.00155413sec,0,32760,64
0,2096640,0.00153701sec,0,32760,64
0,2097150,0.000742967sec,0,16384,128
0,2097150,0.000774128sec,0,16384,128
0,2097150,0.000742828sec,0,16384,128
0,2097150,0.0007645sec,0,16384,128
0,2097150,0.000742826sec,0,16384,128
0,2097150,0.000770654sec,0,16384,128
0,2097150,0.000742839sec,0,16384,128
0,2097150,0.000764851sec,0,16384,128
0,2097150,0.000742897sec,0,16384,128
0,2097150,0.000767693sec,0,16384,128
0,2097150,0.000186054sec,0,4096,512
0,2097150,0.000186002sec,0,4096,512
0,2097150,0.00018625sec,0,4096,512
0,2097150,0.000191701sec,0,4096,512
0,2097150,0.000186072sec,0,4096,512
0,2097150,0.00019168sec,0,4096,512
0,2097150,0.000186056sec,0,4096,512
0,2097150,0.000186087sec,0,4096,512
0,2097150,0.000186186sec,0,4096,512
0,2097150,0.000191668sec,0,4096,512
0,2097150,9.6081e-05sec,0,2048,1024
0,2097150,9.6078e-05sec,0,2048,1024
0,2097150,9.615e-05sec,0,2048,1024
0,2097150,0.000238043sec,0,2048,1024
0,2097150,9.3277e-05sec,0,2048,1024
0,2097150,9.6094e-05sec,0,2048,1024
0,2097150,9.3356e-05sec,0,2048,1024
0,2097150,0.000102346sec,0,2048,1024
0,2097150,9.6066e-05sec,0,2048,1024
0,2097150,9.3239e-05sec,0,2048,1024
